,Description,Date,Age,Miles,eq_200m,Minutes,Seconds
35, Durham Track with Andy,1994-05-01,22,0.249,0.4287948163721409,0.0,25.0
31, St Andrews or Glasgow,1991-05-01,19,0.249,0.4287948163721409,0.0,25.0
40, Track meet 400m,1998-06-10,26,0.249,0.4287948163721409,0.0,25.0
62, Track meet 400m,1999-06-09,27,0.249,0.4287948163721409,0.0,25.0
47, Track meet 400m,1998-07-08,26,0.249,0.4332153814893795,0.0,25.0
45, Track meet 200m,1998-06-24,26,0.124,0.4513662614963123,0.0,27.0
39, Track meet 200m,1998-06-10,26,0.124,0.46139662286289707,0.0,27.0
69, Track meet 200m,1999-07-07,27,0.124,0.46139662286289707,0.0,27.0
46, Track meet 800m,1998-06-24,26,0.497,0.4714769427308192,0.0,28.0
32, Track meet mile  Glasgow,1991-05-01,19,1.0,0.47962942360899746,0.0,28.0
72, Mapco Mile,1999-07-21,28,1.0,0.4806142889552172,0.0,28.0
61, Presbyterian 5k,1999-05-22,27,3.108,0.4846423021860656,0.0,29.0
29, St Andrews 1500m,1991-04-01,19,0.932,0.486205738590964,0.0,29.0
41, Track meet 800m,1998-06-10,26,0.497,0.48809287022794057,0.0,29.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,0.49191048308267726,0.0,29.0
49, Mapco Mile,1998-07-22,27,1.0,0.49440240380229306,0.0,29.0
48, Track meet mile,1998-07-08,26,1.0,0.4973569998409522,0.0,29.0
64, Track meet mile,1999-06-09,27,1.0,0.5072056533031494,0.0,30.0
99, Flint Hills Mile,2007-06-28,35,1.0,0.508190518649369,0.0,30.0
63, Track meet 800m,1999-06-09,27,0.497,0.5088627795993423,0.0,30.0
123, Golden Mile,2009-07-25,38,1.0,0.5091753839955887,0.0,30.0
42, Track meet mile,1998-06-10,26,1.0,0.5121299800342478,0.0,30.0
140, Valkyeries,2010-07-17,38,4.972,0.5136509739463938,0.0,30.0
139, Flint Hills Mile,2010-07-01,38,1.0,0.515084576072907,0.0,30.0
117, Midnight Sun Run,2009-06-19,37,6.215,0.5163912116428854,0.0,30.0
119, Flint Hills Mile,2009-07-02,37,1.0,0.5170543067653464,0.0,31.0
141, Golden Mile,2010-07-24,39,1.0,0.5170543067653464,0.0,31.0
122, Fast mile during run around Patty center,2009-09-19,38,1.0,0.5190240374577858,0.0,31.0
58, Alaskaland Run for Youth,1999-04-24,27,3.108,0.5233090245560396,0.0,31.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,0.5235609788783379,0.0,31.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,0.5238305732331507,0.0,31.0
70, Track meet mile,1999-07-07,27,1.0,0.5239483641888844,0.0,31.0
98, Midnight Sun Run,2007-06-23,35,6.215,0.5248656042108735,0.0,31.0
163, Golden Mile,2013-07-20,42,1.0,0.5269029602275435,0.0,31.0
53, GCI 5k,1998-08-15,27,3.108,0.5270884786222777,0.0,31.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,0.5292089204864915,0.0,31.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,0.5296495354992538,0.0,31.0
87, LRRL Barrow ,2005-01-30,33,6.0,0.5335639241571939,0.0,32.0
168, Flint Hills Mile,2014-05-26,42,1.0,0.5347818829973011,0.0,32.0
104, GCI 8k,2007-08-04,36,4.972,0.5357640836722216,0.0,32.0
136, Beet Beethoven,2010-04-10,38,3.108,0.5369732046416694,0.0,32.0
22, thringstone,1988-08-07,17,4.5,0.5371425743870957,0.0,32.0
97, Chena River Run,2007-05-05,35,3.108,0.5372639318775341,0.0,32.0
44, Midnight Sun Run,1998-06-20,26,6.215,0.5375771930628555,0.0,32.0
162, Flint Hills Mile,2013-06-27,41,1.0,0.5377364790359602,0.0,32.0
135, Spring Fling,2010-04-03,38,6.215,0.5389440305738213,0.0,32.0
90, Rushcliffe Country Park,2005-08-05,34,4.0,0.5408708791185382,0.0,32.0
153, Golden Mile,2012-07-21,41,1.0,0.541675940420839,0.0,32.0
112, Run Lu Lu Run,2008-08-17,37,6.215,0.541677705595753,0.0,32.0
81, Livingstone Relays,2004-04-11,32,3.0,0.5417425329241881,0.0,32.0
102, Training for Flint Hills mile?,2007-07-10,35,0.746,0.5422823328745043,0.0,32.0
60, Law Days 10k,1999-05-01,27,6.215,0.5440013293643948,0.0,32.0
96, Track time trial 3000m,2007-05-01,35,1.865,0.5444679759187175,0.0,32.0
59, Alaskaland Couch Potato Challenge,1999-04-25,27,3.108,0.5445321127741456,0.0,32.0
17, Leicester,1987-09-06,16,5.0,0.5451301829733317,0.0,32.0
101, Santa Claus Half,2007-07-07,35,13.112,0.5475845365440005,0.0,32.0
148, Golden Mile,2011-07-23,40,1.0,0.5485699978443771,0.0,32.0
185, Thanksgiving Turkey Trot,2016-11-24,45,1.0,0.5485699978443771,0.0,32.0
24, sileby,1988-09-11,17,9.0,0.549093957687836,0.0,32.0
152, Valkyries,2012-07-14,40,5.37,0.549227098978066,0.0,32.0
172, AGU Run,2014-12-18,43,3.108,0.550346657491435,0.0,33.0
83, Crossdale 10k,2004-09-05,33,6.215,0.5504254656659342,0.0,33.0
80, Desford 10k,2004-03-28,32,6.215,0.5522023544301897,0.0,33.0
151, Flint Hills Mile,2012-06-28,40,1.0,0.5534943245754755,0.0,33.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,0.5535969681314556,0.0,33.0
110, Fairbanks run for women,2008-06-01,36,5.0,0.5563789010346861,0.0,33.0
169, Midnight Sun Run,2014-06-21,42,6.215,0.5578063882251496,0.0,33.0
125, Run Lu Lu Run,2009-08-15,38,6.837,0.5588236489524466,0.0,33.0
132, UAF campus afternoon run,2010-03-18,38,3.0,0.5589646881816775,0.0,33.0
67, 1st Salmon Run in Nenana,1999-07-04,27,3.108,0.559068474567369,0.0,33.0
1, Humphries Sports Day,1984-05-01,12,0.249,0.5614117698892979,0.0,33.0
43, Mosquito Meander,1998-06-13,26,3.108,0.5619757469260136,0.0,33.0
88, Holme Pierrepont,2005-07-28,34,6.215,0.5621802682602403,0.0,33.0
177, Midnight Sun Run,2016-06-18,44,6.215,0.5621802682602403,0.0,33.0
89, Wollaton Park,2005-07-30,34,3.108,0.5625572013977426,0.0,33.0
161, Midnight Sun Run,2013-06-22,41,6.215,0.5627270032646265,0.0,33.0
143, Santa Claus Half,2010-08-07,39,13.112,0.5629515584149084,0.0,33.0
71, Santa Claus Half M,1999-07-10,27,13.112,0.5629515584149084,0.0,33.0
198, Jim Loftus Mile,2019-06-06,47,1.0,0.5633429780376725,0.0,33.0
138, Midnight Sun Run,2010-06-19,38,6.215,0.5640938407755923,0.0,33.0
150, Midnight Sun Run,2012-06-23,40,6.215,0.5643672082777855,0.0,33.0
52, Santa Claus Half M,1998-08-08,27,13.112,0.5644060501969286,0.0,33.0
79, Trent Toll Bridge (Notts AC),2003-07-26,32,5.0,0.5645125894790501,0.0,33.0
50, Grandmas over the hill,1998-07-23,27,9.0,0.5652437799727723,0.0,33.0
95, Beet Beethoven,2007-04-14,35,3.108,0.5663366554639807,0.0,33.0
38, Law Days Judicata,1998-04-25,26,6.215,0.5695611908194556,0.0,34.0
124, Santa Claus Half,2009-08-08,38,13.112,0.5699710622324836,0.0,34.0
159, Halloween Run,2012-10-27,41,10.0,0.5701121965502796,0.0,34.0
34, St Andrews Half,1991-05-15,19,13.112,0.5712358376951098,0.0,34.0
129, Cache Creek Warm-up,2009-10-24,38,6.8,0.571388408907667,0.0,34.0
75, Gold Discovery Run,2000-07-23,29,16.3,0.5721862110458352,0.0,34.0
207, St Pete Run Festival,2021-11-13,50,6.215,0.5747551733611257,0.0,34.0
208, Turkey Trot Clearwater,2021-11-25,50,3.107,0.5752600971802173,0.0,34.0
57, Beat Beethoven,1999-04-03,27,3.108,0.5762213814833724,0.0,34.0
166, Donate Life USF 5k,2014-04-06,42,3.108,0.5765121087192369,0.0,34.0
28, sileby,1989-09-10,18,9.0,0.5767793673191555,0.0,34.0
160, Beat Beethoven,2013-04-13,41,3.108,0.5773842904268304,0.0,34.0
146, Murphy Dome Roam,2011-05-15,39,11.0,0.5775172621822233,0.0,34.0
134, UAF campus run,2010-04-01,38,3.0,0.5776975588126311,0.0,34.0
175, Chena River Run,2016-05-07,44,3.108,0.5779657448985592,0.0,34.0
