,Description,Date,Age,Miles,eq_800m,Minutes,Seconds
46, Track meet 800m,1998-06-24,26,0.497,2.2709967991902853,2.0,16.0
32, Track meet mile  Glasgow,1991-05-01,19,1.0,2.3102654384424346,2.0,18.0
72, Mapco Mile,1999-07-21,28,1.0,2.3150093099792777,2.0,18.0
61, Presbyterian 5k,1999-05-22,27,3.108,2.3344113301530944,2.0,20.0
29, St Andrews 1500m,1991-04-01,19,0.932,2.3419420463970253,2.0,20.0
41, Track meet 800m,1998-06-10,26,0.497,2.3510319286771675,2.0,21.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,2.3694204982717673,2.0,22.0
49, Mapco Mile,1998-07-22,27,1.0,2.3814235114950764,2.0,22.0
48, Track meet mile,1998-07-08,26,1.0,2.3956551261056047,2.0,23.0
64, Track meet mile,1999-06-09,27,1.0,2.443093841474033,2.0,26.0
99, Flint Hills Mile,2007-06-28,35,1.0,2.4478377130108755,2.0,26.0
63, Track meet 800m,1999-06-09,27,0.497,2.45107584053577,2.0,27.0
123, Golden Mile,2009-07-25,38,1.0,2.452581584547718,2.0,27.0
42, Track meet mile,1998-06-10,26,1.0,2.4668131991582465,2.0,28.0
140, Valkyeries,2010-07-17,38,4.972,2.4741394796038283,2.0,28.0
139, Flint Hills Mile,2010-07-01,38,1.0,2.481044813768775,2.0,28.0
117, Midnight Sun Run,2009-06-19,37,6.215,2.4873385790162166,2.0,29.0
119, Flint Hills Mile,2009-07-02,37,1.0,2.49053255684246,2.0,29.0
141, Golden Mile,2010-07-24,39,1.0,2.49053255684246,2.0,29.0
122, Fast mile during run around Patty center,2009-09-19,38,1.0,2.500020299916146,2.0,30.0
58, Alaskaland Run for Youth,1999-04-24,27,3.108,2.520660104544433,2.0,31.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,2.5218737109960387,2.0,31.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,2.5231722854572065,2.0,31.0
70, Track meet mile,1999-07-07,27,1.0,2.5237396576003603,2.0,31.0
98, Midnight Sun Run,2007-06-23,35,6.215,2.5281577933886368,2.0,31.0
163, Golden Mile,2013-07-20,42,1.0,2.5379712722108883,2.0,32.0
53, GCI 5k,1998-08-15,27,3.108,2.5388648719661426,2.0,32.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,2.549078556348261,2.0,32.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,2.551200898276294,2.0,33.0
87, LRRL Barrow ,2005-01-30,33,6.0,2.570055614821879,2.0,34.0
168, Flint Hills Mile,2014-05-26,42,1.0,2.5759222445056307,2.0,34.0
104, GCI 8k,2007-08-04,36,4.972,2.5806532809291456,2.0,34.0
136, Beet Beethoven,2010-04-10,38,3.108,2.586477340607537,2.0,35.0
22, thringstone,1988-08-07,17,4.5,2.5872931560056665,2.0,35.0
97, Chena River Run,2007-05-05,35,3.108,2.5878777073322845,2.0,35.0
44, Midnight Sun Run,1998-06-20,26,6.215,2.589386614947268,2.0,35.0
162, Flint Hills Mile,2013-06-27,41,1.0,2.590153859116159,2.0,35.0
135, Spring Fling,2010-04-03,38,6.215,2.595970359200884,2.0,35.0
90, Rushcliffe Country Park,2005-08-05,34,4.0,2.6052515487585985,2.0,36.0
153, Golden Mile,2012-07-21,41,1.0,2.60912934526353,2.0,36.0
112, Run Lu Lu Run,2008-08-17,37,6.215,2.609137847708117,2.0,36.0
81, Livingstone Relays,2004-04-11,32,3.0,2.6094501061496924,2.0,36.0
102, Training for Flint Hills mile?,2007-07-10,35,0.746,2.6120501992788943,2.0,36.0
60, Law Days 10k,1999-05-01,27,6.215,2.620330212939264,2.0,37.0
96, Track time trial 3000m,2007-05-01,35,1.865,2.622577942860227,2.0,37.0
59, Alaskaland Couch Potato Challenge,1999-04-25,27,3.108,2.622886875450957,2.0,37.0
